Anonymous Order Key,Anonymous Customer Key,Order Date,Ship Date,Ship Mode,Segment,Country,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Product ID Reused,Product Name Multiple IDs,Product Key,Shipping Days,Order Year,Order Month Number,Order Month,Order Year-Month,Data Quality Issue Count,Data Quality Status,Data Quality Notes
ORD-02457,CUST-0144,2017-11-08,2017-11-11,Second Class,Consumer,United States,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,False,False,FUR-BO-10001798 | Bush Somerset Collection Bookcase,3,2017,11,November,2017-11,0,Passed,No known data-quality issue
ORD-02457,CUST-0144,2017-11-08,2017-11-11,Second Class,Consumer,United States,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,False,False,"FUR-CH-10000454 | Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,2017,11,November,2017-11,0,Passed,No known data-quality issue
ORD-02255,CUST-0238,2017-06-12,2017-06-16,Second Class,Corporate,United States,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,False,False,OFF-LA-10000240 | Self-Adhesive Address Labels for Typewriters by Universal,4,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-04296,CUST-0706,2016-10-11,2016-10-18,Standard Class,Consumer,United States,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,False,False,FUR-TA-10000577 | Bretford CR4500 Series Slim Rectangular Table,7,2016,10,October,2016-10,0,Passed,No known data-quality issue
ORD-04296,CUST-0706,2016-10-11,2016-10-18,Standard Class,Consumer,United States,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,False,False,OFF-ST-10000760 | Eldon Fold 'N Roll Cart System,7,2016,10,October,2016-10,0,Passed,No known data-quality issue
ORD-00195,CUST-0089,2015-06-09,2015-06-14,Standard Class,Consumer,United States,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,False,False,"FUR-FU-10001487 | Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",5,2015,6,June,2015-06,0,Passed,No known data-quality issue
ORD-00195,CUST-0089,2015-06-09,2015-06-14,Standard Class,Consumer,United States,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,False,False,OFF-AR-10002833 | Newell 322,5,2015,6,June,2015-06,0,Passed,No known data-quality issue
ORD-00195,CUST-0089,2015-06-09,2015-06-14,Standard Class,Consumer,United States,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,False,False,TEC-PH-10002275 | Mitel 5320 IP Phone VoIP phone,5,2015,6,June,2015-06,0,Passed,No known data-quality issue
ORD-00195,CUST-0089,2015-06-09,2015-06-14,Standard Class,Consumer,United States,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,False,False,OFF-BI-10003910 | DXL Angle-View Binders with Locking Rings by Samsill,5,2015,6,June,2015-06,0,Passed,No known data-quality issue
ORD-00195,CUST-0089,2015-06-09,2015-06-14,Standard Class,Consumer,United States,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,False,False,OFF-AP-10002892 | Belkin F5C206VTEL 6 Outlet Surge,5,2015,6,June,2015-06,0,Passed,No known data-quality issue
ORD-00195,CUST-0089,2015-06-09,2015-06-14,Standard Class,Consumer,United States,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,False,False,FUR-TA-10001539 | Chromcraft Rectangular Conference Tables,5,2015,6,June,2015-06,0,Passed,No known data-quality issue
ORD-00195,CUST-0089,2015-06-09,2015-06-14,Standard Class,Consumer,United States,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,False,False,TEC-PH-10002033 | Konftel 250 Conference phone - Charcoal black,5,2015,6,June,2015-06,0,Passed,No known data-quality issue
ORD-03036,CUST-0003,2018-04-15,2018-04-20,Standard Class,Consumer,United States,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,False,False,OFF-PA-10002365 | Xerox 1967,5,2018,4,April,2018-04,0,Passed,No known data-quality issue
ORD-02613,CUST-0339,2017-12-05,2017-12-10,Standard Class,Consumer,United States,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,False,False,OFF-BI-10003656 | Fellowes PB200 Plastic Comb Binding Machine,5,2017,12,December,2017-12,0,Passed,No known data-quality issue
ORD-04313,CUST-0331,2016-11-22,2016-11-26,Standard Class,Home Office,United States,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,False,False,"OFF-AP-10002311 | Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4,2016,11,November,2016-11,0,Passed,No known data-quality issue
ORD-04313,CUST-0331,2016-11-22,2016-11-26,Standard Class,Home Office,United States,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,False,False,OFF-BI-10000756 | Storex DuraTech Recycled Plastic Frosted Binders,4,2016,11,November,2016-11,0,Passed,No known data-quality issue
